code,nl
raise TemplateSyntaxError ( STR_ STR_ % option ),"raise an TemplateSyntaxError exception with an argument string 'The % r option was specified more than once . ' ,"
"reloader ( wrapped main func , args , kwargs )","call the function reloader with wrapped_main_func , args and kwargs as arguments ."
"self . stdout . write ( self . style . MIGRATE HEADING ( "" STR_ "" % writer . filename ) + "" STR_ "" )","substitute ' % s ' in a string `` Full migrations file ' % s ' : '' with writer.filename , append newline to it ,"
self . full clean ( ),call the method self.full_clean .
path = [ path ],path is an list containing path .
"raise self . error ( token , "" STR_ "" )","call the method self.error with 2 arguments : token and string `` Empty variable tag '' , return the result ."
from   future   import unicode literals,from __future__ import unicode_literals into default name space .
if mtime ! =  mtimes [ filename ] :,"if mtime is different than the value of dictionary _mtimes under the key filename ,"
cursor . execute ( sql ),call the method cursor.execute with sql as argument .
value = - + value,"append value to the '- ' , substitute it for value ."
"parser . add argument ( STR_ , action = STR_ , dest = STR_ , default = False , help = STR_ )","call the add_argument method on the parser object with string ' -- backwards ' , asction set to 'store_true ' , dest set to 'backwards ' ,"
if dirname and not os . path . exists ( dirname ) :,"if dirname is true and dirname path doesnt exists ,"
for f in opts . concrete fields + opts . virtual fields + opts . many to many :,"concatenate opts.concrete_fields , opts.virtual_fields and opts.many_to_many , for every f in the result ,"
truncate len = length,substitute length for truncate_len .
"shutil . rmtree ( path to remove , onerror = rmtree errorhandler )",call the function shutil.rmtree with 2 arguments : path_to_remove and onerror set to rmtree_errorhandler .
try :,"try ,"
return,return nothing .
return   ( STR_ ),"call the function _ with an argument string ' a.m . ' , return the result ."
class DateTimeField ( BaseTemporalField ) :,"and format , call the method time on the result , return the result . derive the class DateTimeField from the base class BaseTemporalField class ."
imatch = in line re . match ( t . contents ),"call the function inline_re.match with an argument t.contents , substitute the result for imatch ."
for pattern in self . url patterns :,"for every pattern in self.url_patterns ,"
data set = set ( force text ( value ) for value in data ),"for every value in result of the method self.prepare_value called with an argument initial . data_set is set created out of return values of the function force_text called with an argument value ,"
"from . . import Warning , register , Tags","from .. import Warning , register and Tags into default name space ."
"parser . add argument ( STR_ , nargs = * )",call the method parser.add_argument with arguments : string 'args ' and nargs set to '* ' .
if len ( words ) > length :,"if length of words is greater than length ,"
"return self .  post , self .  files",return self._post and self._files .
opts . fields = None,opts.fields is None .
self . saved forms . append ( form ),append form to self.saved_forms .
def media ( self ) :,define the method media with an argument self .
return True,return boolean True .
field desc += STR_,"append string ' , ' to field_desc ."
import decimal,import module decimal .
from django . conf import settings,from django.conf import settings into default name space .
"space = "" """,substitute string `` `` for space .
"formatted = "" STR_ "" . join ( sorted ( formatted ) )","sort elements formatted , join them in the list separated with newline character , substitute the result for formatted ."
if response . streaming :,"if response.streaming is true ,"
"def add library ( self , lib ) :",define the function add_library with 2 arguments : self and lib .
def split url ( url ) :,define the function split_url with an argument url .
try :,"try ,"
singular = [ ],singular is an empty list .
from django . conf import settings,"name for base_name , top_dir for base_directory and docs_version for 'docs_version ' and autoescape set to boolean False . from django.conf import settings into a default name space ,"
if self . feed [ STR_ ] is not None :,"if value under the 'language ' key of the self.feed dictionary is not None ,"
try :,"try ,"
else :,"if not ,"
sys . exit ( NUM_ ),where ' % r ' is replaced with subcommand and ' % s ' is replaced with self.prog_name . call the function sys.exit with an argument integer 1 .
self . fed . append ( STR_ % name ),"format string ' & % s ; ' with name , append it to self.fed ."
"in cremental = config . pop ( STR_ , False )","get config dictionary element under 'incremental ' key , if it exists substitute it for incremental , if not ,"
else :,"if not ,"
self .  non form errors = None,self._non_form_errors is None .
self .  post parse error = True,self._post_parse_error is boolean True .
if match :,"if match is true ,"
"from django . core . management . base import BaseCommand , CommandError",from django.core.management.base import BaseCommand and CommandError into default name space .
exp = Decimal ( STR_ ) / ( Decimal ( NUM_ ) ** abs ( p ) ),"instantiate class Decimal with string ' 1.0 ' as argument , divide it by product of instance of Decimal class created with integer 10 ,"
parser . ExternalEntityRefHandler = self . external entity ref handler,substitute self.external_entity_ref_handler for parser.ExternalEntityRefHandler .
if age > max age :,"if age is greater than max_age ,"
"super ( SimpleCookie , self ) . load ( rawdata )",from the base class of the SimpleCookie class call the method load with rawdata as argument .
"def listdir ( self , path ) :",define the method listdir with arguments self and path .
"from django . utils . encoding import force bytes , force str , force text","from django.utils.encoding import force_bytes , force_str and force_text into default name space ."
if app label not in executor . loader . migrated apps :,"if app_label is not contained in executor.loader.migrated_apps ,"
from django . conf import settings,from django.conf import settings into default name space .
"return format html ( STR_ , option value , selected html , force text ( option label ) )","call the function format_html with 4 arguments : string ' < option value= '' { 0 } '' { 1 } > { 2 } < /option > ' , option_value , selected_html ,"
return DebugVariableNode ( contents ),"return an instance of DebugVariableNode , created with an argument contents ."
"self . appendlist ( force text ( key , encoding , errors = STR_ ) , force text ( value , encoding , errors = STR_ ) )",call the method self.appendlist with 2 arguments : return value of the function force_text with 3 arguments :
temp lib . tags [ name ] = lib . tags [ name ],substitute value under the name key of the lib.tags dictionary for value under the name key of the temp_lib.tags dictionary .
def execute ( self ) :,"define the method execute with an argument self ,"
for header in cc delim re . split ( response [ STR_ ] ) :,for every header in list of strings compiled by splitting string cc_delim_re with value under the key 'Vary ' of response dictionary as a delimiter .
def execute from command line ( argv = None ) :,define the function execute_from_command_line with an argument argv set to None .
deactivate ( ),call the method deactivate .
for char in fmt :,"for every char in fmt ,"
return tf . format ( format string ),"call the method tf.format with an argument format_string , return the result ."
class HttpRequest ( object ) :,derive the class HttpRequest from the object base class .
obj = self . var,substitute self.var for obj .
return patterns,return patterns .
LOCK NB = fcntl . LOCK NB,substitute fcntl.LOCK_NB for LOCK_NB .
"namespaces [ namespace ] = ( p pattern + prefix , sub pattern )","substitute tuple containing 2 elements : sum of p_pattern and prefix , and sub_pattern for value under the namespace key of the namespace dictionary ."
result . queryset = result . queryset,substitute result.queryset for result.queryset .
"if not hasattr ( e , STR_ ) :","if e doesnt have an 'django_template_source ' attribute ,"
"yield "" STR_ """,yield string `` from __future__ import unicode_literals '' as the result .
"return self . add truncation text ( text [ : end index or NUM_ ] , truncate )","call the method self.add_truncation_text with 2 arguments : if end_index is greater than zero , first end_index elements of text ,"
import os,import module os .
cursor = connection . cursor ( ),"call the method connection.cursor , substitute the result for cursor ."
try :,"try ,"
"def utcoffset ( self , dt ) :",define the method utcoffset with 2 arguments : self and dt .
"value = var . resolve ( context , True )","call the method var.resolve with 2 arguments : context and True , substitute the result for value ."
@ staticmethod,"static method ,"
"handler . addQuickElement ( "" STR_ "" , item [ STR_ ] )",call the method handler.addQuickElement with 2 arguments : string 'description ' and value under the 'description ' key of the item dictionary .
except KeyError :,"if KeyError exception is caught ,"
if not dklen :,"if dklen is false ,"
"si = open ( STR_ , STR_ )","open '/dev/null ' file in read mode , substitute the result for si ."
class Command ( BaseCommand ) :,derive the class Command from the BaseCommand class .
"if hasattr ( middleware , STR_ ) :","if middleware has an attribute 'process_response ' ,"
"default error messages = { STR_ :   ( STR_ ) , }",default_error_messages is an dictionary with an entry : return value of the function _ called with an argument string 'Enter a valid date . ' for 'invalid ' .
"self . stderr . write ( "" STR_ "" "" STR_ "" "" STR_ "" % new path , self . style . NOTICE )","replace ' % s ' in string `` Notice : Could n't set permission bits on % s . You 're probably using an uncommon filesystem setup . No problem . `` ,"
from   future   import unicode literals,from __future__ import unicode_literals into default name space .
else :,"if not ,"
" meth self = "" STR_ """,_meth_self is a string `` im_self '' .
output = [ ],output is an empty list .
"def constant time compare ( val1 , val2 ) :",define the function constant_time_compare with 2 arguments : val1 and val2 .
for middleware method in self .  request middleware :,"for every middleware_method in self._request_middleware ,"
"self . in stance . full clean ( exclude = exclude , validate unique = False )",call the method self.instance.full_clean with 2 arguments : exclude set to exclude and validate_unique set to boolean False .
if cls .  delegate text :,"if cls._delegate_text is true ,"
self . args = args,substitute args for self.args .
"def  get context stack frame ( self , context ) :",define the method _get_context_stack_frame with 2 arguments : self and context .
from django . db . migrations . autodetector import MigrationAutodetector,from django.db.migrations.autodetector import MigrationAutodetector into default name space .
msg [ STR_ ] = self . subject,substitute self.subject for value under the 'Subject ' key of msg dictionary .
self .  errors [ field ] = self . error class ( error class = STR_ ),"call the method self.error_class with an argument error_class as an string 'nonfield ' ,"
expires = None,expires is None .
if options . pythonpath :,"if options.pythonpath is true ,"
self . name = name,substitute name for self.name .
from django . utils . module loading import module has submodule,from django.utils.module_loading import module_has_submodule into default name space .
def   iter   ( self ) :,define the method __iter__ with an argument self .
"def regroup ( parser , token ) :",define the function regroup with 2 arguments : parser and token .
if self . verbosity >= NUM_ :,"with all occurrences of ' % s ' replaced with app_name and model._meta.object_name , respectively . if self.verbosity is greater or equal to integer 1 ,"
locales = set ( locales ) - set ( exclude ),locales is a difference between the locales and exclude sets .
if html :,"if html is true ,"
class NullBooleanSelect ( Select ) :,derive the class NullBooleanSelect from the Select base class .
pass,do nothing .
from django . utils . itercompat import is  iterable,from django.utils.itercompat import is_iterable into default name space .
opts = tuple ( s for s in styles if s in opt dict . keys ( ) ),"opts is a tuple created out of elements s , for every s in styles is s is in the keys of the opt_dict dictionary ."
"in teger types = in t ,",substitute int for integer_types .
mime type = STR_,mime_type is a string 'application/atom+xml ; charset=utf-8 ' .
class ModelFormMetaclass ( DeclarativeFieldsMetaclass ) :,if not self.error_messages is None . derive the class ModelFormMetaclass from the DeclarativeFieldsMetaclass base class .
def clean ( self ) :,define the method clean with an argument self .
TYPE = FIELD,"substitute FIELD for TYPE ,"
def keys ( self ) :,return resulting list . define the method keys with an argument self .
"class Form ( six . with metaclass ( DeclarativeFieldsMetaclass , BaseForm ) ) :",derive the class Form from the base classes DeclarativeFieldsMetaclass and BaseForm .
del  serializers [ format ],delete the _serializers dictionary entry at the format key .
"from django . utils . encoding import force bytes , force text , force str , iri to uri","from django.utils.encoding import force_bytes , force_text , force_str and iri_to_uri into default name space ."
file = file or path,substitute file_or_path for file .
if not strict :,"if strict is false ,"
from   future   import unicode literals,from __future__ import unicode_literals into default name space .
"raise Resolver404 ( { STR_ : tried , STR_ : new path } )",raise an Resolver404 exception with an argument dictionary containing 2 entries : new_path for 'path ' and tried for 'tried ' .
return [ field for field in self if field . is  hidden ],"for field in self if field.is_hidden is true , append field to a list , return the resulting list ."
attrs plus [ STR_ ] += STR_ . format ( i ),"prepend string ' _ ' to i converted to an string , append the result to the value under the 'id ' key of the attrs_plus ."
view = transaction . atomic ( using = db . alias ) ( view ),"call the function transaction.atomic , with using set to db.alias as the argument , return value is a function which is called ,"
class Command ( BaseCommand ) :,derive class Command from the BaseCommand base class .
return MONTHS 3 [ self . data . month ] . title ( ),"get the value under the self.data.month key of the MONTHS_3 dictionary , call on it the method title , return the result ."
validate ipv46 address ( ip address ),call the function validate_ipv46_address with an argument ip_address .
else :,"if not ,"
settings . USE I18N = True,settings.USE_I18N is boolean True .
self . base url = base url,substitute base_url for self.base_url .
if daemonize :,"if daemonize is true ,"
generic lang code = lang code . split ( - ) [ NUM_ ],"split lang_code by character '- ' , substitute the first element of the result for generic_lang_code ."
"def   setitem   ( self , name , val ) :","define the method __setitem__ with arguments self , name and val ."
error = ValidationError ( error ),error is an instance of ValidationError created with an argument error .
c = self . resolve ( c ),"call the method self.resolve with an argument c , substitute the result for c ."
wrapper . cache info = cache info,substitute cache_info for wrapper.cache_info .
"def get unique error message ( self , unique check ) :",define the method get_unique_error_message with 2 arguments : self and unique_check .
message . message = error messages [ message . code ],substitute error_messages under the message.code key of error_messages dictionary for message.message .
if e . errno ! = errno . ENOENT :,"if e.errno equals to errno.EEXIST ,"
LockFileEx . restype = BOOL,substitute BOOL for LockFileEx.restype .
"super ( QueryDict , self ) . setlist ( key , list  )","substitute the resulting list for list_ . call the method setlist from the base class of the QueryDict class , with arguments key and list_ ."
in verse match = False,inverse_match is boolean False .
except Exception as e :,"if Exception , renamed to e , exception is caught ,"
decompress = False,"s and max_age set to max_age , use it as an argument for the force_bytes function , substitute the result for base64d . decompress is boolean False ."
if use grouping :,"if use_grouping is true ,"
"result = super ( SortedDict , self ) . popitem ( )","call the method popitem from the base class of the class SortedDict , substitute the result for result ."
while token . contents . startswith ( elif ) :,"while token.contents starts with a string 'elif ' ,"
"for   , nodelist in self . conditions nodelists :","for every _ and nodelist in self.conditions_nodelists ,"
"for t in Lexer ( src , or igin ) . tokenize ( ) :","instantiate Lexer class with 2 argumets src and origin , call the method tokenize from it , for every t in the result ,"
return out,return out .
"statements = connection . ops . sequence reset sql ( self . style , models )","call the method connection.ops.sequence_reset_sql with 2 arguments self.style and models , substitute the result for statements ."
"return getattr ( in stance , name ) ( value )","get name attribute from the instance object , call it with an argument value and return the result ."
"compare = lambda self , a , b : a < b","compare is a lambda function with arguments self , a and b , return value is boolean true if a is lesser than b , otherwise is false ."
daemonize = False,daemonize is boolean False .
import subprocess,import module subprocess .
@ register . tag ( if ),"called with an argument value and value . register.tag decorator function with an argument 'if ' ,"
"from django . forms . forms import DeclarativeFieldsMetaclass , BaseForm",from django.forms.forms import DeclarativeFieldsMetaclass and BaseForm into default name space .
requires system checks = False,requires_system_checks is boolean False .
"def filter ( self , record ) :",define the method filter with 2 arguments : self and record .
result . parent = self,substitute self for result.parent .
"def execute ( self , * args , ** options ) :","define the method execute with 3 arguments : self , unpacked list args and unpacked dictionary options ."
"warnings . warn ( "" STR_ "" % ( self . class name , self . old method name , self . new method name ) , self . deprecation warning , NUM_ )","call the function warnings.warn with 3 arguments : string `` ` % s. % s ` is deprecated , use ` % s ` instead . `` ,"
self .  current app = current app,substitute current_app for self._current_app .
"def delete ( self , key , version = None ) :","define the method delete with 3 arguments : self , key , and version set to None ."
get git changeset . cache = changeset,substitute changeset for get_git_changeset.cache .
output = [ ],output is an empty list .
self . timezone = get default timezone ( ),"call the function get_default_timezone , substitute the result for self.timezone ."
exp = exp . replace ( microsecond = NUM_ ),"call the exp.replace with microsecond set to integer 0 , substitute the result for exp ."
@ classmethod,"class method decorator ,"
extra params [ STR_ ] = True,value under the 'blank ' key of the extra_params dictionary is boolean True .
from django . apps import apps,from django.apps import apps into default name space .
def   str   ( self ) :,define the method __str__ with an argument self .
def get standard processors ( ) :,define the function get_standard_processors .
upto = end,"tuple with 2 elements : start and end and boolean False , append the result to result . substitute end for upto ."
import imp,import imp .
"cache key = STR_ % ( key prefix , method , url . hexdigest ( ) , ctx . hexdigest ( ) )","force_bytes function , use the result as the argument for the call to the hashlib.mdb function , store the result in url . substitute the ' % s ' in string 'views.decorators.cache.cache_page. % s. % s. % s. % s ' with key_prefix , method ,"
self . COOKIES = { },self.COOKIES is an empty dictionary .
class TemplateTagNode ( Node ) :,"use the result as an argument for the call to the function strip_spaces_between_tags , return the result . derive the class TemplateTagNode from Node base class ."
from django . utils . timezone import get current timezone name,from django.utils.timezone import get_current_timezone_name to the default name space .
except TemplateSyntaxError as e :,"if TemplateSyntaxError , renamed to e , exception is caught ,"
@ property,"property decorator ,"
raise,raise an exception .
import threading,import module threading .
mask = ( pyinotify . IN MODIFY | pyinotify . IN DELETE | pyinotify . IN ATTRIB | pyinotify . IN MOVED FROM | pyinotify . IN MOVED TO | pyinotify . IN CREATE ),"perform the bitwise or operation on the next 6 operands pyinotify.IN_MODIFY pyinotify.IN_DELETE , pyinotify.IN_ATTRIB ,"
class CheckboxFieldRenderer ( ChoiceFieldRenderer ) :,derive the class CheckboxFieldRenderer from the ChoiceFieldRenderer base class .
if val is None :,"if val is None ,"
"from django . utils . html import conditional escape , format html",from django.utils.html import conditional_escape and format_html into default name space .
except AttributeError :,"if AttributeError exception is caught ,"
return any ( self . dicts ),"if any element of self.dicts is true , return boolean True , otherwise return boolean False ."
self .  assert mutable ( ),call the method self._assert_mutable .
while True :,"endless loop ,"
pass,do nothing .
def I ( self ) :,define the method I with an argument self .
else :,"`` This will IRREVERSIBLY DESTROY all data currently in the % r database , and return each table to an empty state . '' `` Are you sure you want to do this ? `` Type 'yes ' to continue , or 'no ' to cancel : `` , where ' % s ' is replaced with value under the 'NAME ' key of the connection.settings_dict dictionary . if not ,"
"raise ImproperlyConfigured ( "" STR_ "" "" STR_ "" "" STR_ "" % name )","raise an ImproperlyConfigured exception with an argument string `` Creating a ModelForm without either the 'fields ' attribute ,"
if self . verbosity >= NUM_ :,"if self.verbosity is grater than , or equal to integer 2 ,"
self . content type extra = None,self.content_type_extra is None .
args . append ( self . choices ),append self.choices to args .
from django . core import signing,from django.core import signing into default name space .
self . pointer = i,substitute i for self.pointer .
return get resolver ( urlconf ) . resolve ( path ),"call the function get_resolver with an argument urlconf , on the result call the method resolve with an argument path , return it ."
else :,"if not ,"
"return set ( chain ( * [ check . tags for check in self . registered checks if hasattr ( check , STR_ ) ] ) )","append check.tags into a list for every check in self.registered_checks if check has 'tags ' attribute , put the elements into a set and return it ."
return ZERO,return ZERO .
def COOKIES ( self ) :,define COOKIES method with self as the argument .
requires system checks = False,requires_system_checks is boolean False .
"TestRunner = get runner ( settings , options . get ( STR_ ) )","call the method get_runner with 2 arguments : settings and value under the 'testrunner ' key of the options dictionary , substitute it for the TestRunner ."
def  iterkeys ( self ) :,define the method _iterkeys with an argument self .
data = self .  coerce ( data ),"call the method self._coerce with an argument data , substitute the result for data ."
if key not in self :,"if key is not contained in self ,"
if child . nodeType == child . TEXT NODE or child . nodeType == child . CDATA SECTION NODE :,"if child.nodeType equals to child.TEXT_NODE or child.nodeType equals to child.CDATA_SECTION_NODE ,"
with connection . cursor ( ) as cursor :,"with the result , call the method connection.cursor , with the result as cursor ,"
def  make parser ( self ) :,if the key doesnt exists substitute boolean False for self.ignore . define the method _make_parser with an argument self .
if pattern . app name :,"if pattern.app_name is true ,"
"if options [ "" STR_ "" ] is None :","if value under the 'daemonize ' of options dictionary is None ,"
show traceback = options . get ( STR_ ),"get the value under the 'traceback ' key of the options dictionary , substitute the result for traceback ."
"parser . add argument ( STR_ , metavar = STR_ , nargs = * , help = STR_ )","call the method parser.add_argument with 4 arguments : string 'args ' , metavar set to string 'app_label ' , nargs set to character'* ' ,"
return value,return value .
"self . set payload ( text , utf8 charset )","call the method payload.decode with 2 arguments : text and utf8_charset , substitute the result for self._payload ."
return bool ( self . name ),"convert self.name into an boolean , return it ."
return NUM_,return integer 0 .
class ReferenceLocalTimezone ( tzinfo ) :,derive the class ReferenceLocalTimezone from the tzinfo base class .
"def   init   ( self , template , context = None , content type = None , status = None ) :","define the method __init__ with 5 arguments : self , template , context set to None , content_type set to None and status set to None ."
"date data = ( date . year , date . month , date . day )","date_data is a tuple with 3 elements : date.year , date.month and date.day ."
return NUM_ << NUM_,"bitwise shift integer 1 to the left by 31 spaces , return the result ."
def server bind ( self ) :,define the function server_bind with an argument self .
logger . addHandler ( self . config [ STR_ ] [ h ] ),call the method logger.addHandler with an argument : h-th element of value under 'handlers ' key of self.config dictionary .
else :,"if not ,"
from django . utils import six,from django.utils import six into default name space .
"from django . utils . deprecation import RenameMethodsBase , RemovedInDjango19Warning",from django.utils.deprecation import RenameMethodsBase and RemovedInDjango19Warning into default name space .
if filename :,"if filename is true ,"
if settings . TEMPLATE DEBUG and or igin is None :,"if settings.TEMPLATE_DEBUG is true and origin is None ,"
def add metaclass ( metaclass ) :,define the function add_metaclass with an argument metaclass .
"p = Popen ( args , shell = False , stdout = PIPE , stderr = PIPE , close fds = os . name ! = STR_ , universal newlines = True )","p is a instance of Popen class , created with 6 arguments : args , shell set to boolean False , stdout set to PIPE ,"
from io import BytesIO,from io import BytesIO into default name space .
"def   init   ( self , view name , args , kwargs , asvar ) :","define the method __init__ with 5 arguments : self , view_name , args , kwargs and asvar ."
return datetime . fromtimestamp ( os . path . getatime ( self . path ( name ) ) ),"call the function self.path with argument name , use the result as an argument for the call to the function os.path.getatime ,"
app configs = reversed ( list ( apps . get app configs ( ) ) ),"call the method apps.get_app_configs , convert the result in a list , reverse the order of elements , substitute the result for app_configs ."
class dummy :,define class dummy .
"def   init   ( self , * args , ** kwargs ) :","define initialization method __init__ with self class instance , unpacked list args , unpacked dictionary kwargs as arguments ."
sign = - if offset < NUM_  else +,"if offset is lesser than integer 0 , sign is set to '- ' , otherwise sign is '+ ' ,"
return text,"if not an empty string , and truncate , return the result . return text ."
"help = "" STR_ """,help is a string `` Prints the CREATE TABLE SQL statements for the given app name ( s ) . `` .
"zfile = GzipFile ( mode = STR_ , compresslevel = NUM_ , fileobj = buf )","zfile is an instance of GzipFile class , created with 3 arguments : mode set to string 'wb ' , compresslevel set to integer 6 ,"
"def value from datadict ( self , data , files , name ) :","return the result . define the method value_from_datadict with 4 arguments : self , data , files and name ."
continue,skip this loop iteration .
return escapejs ( value ),"call the function escapejs with an argument value , return the result ."
return self . keyOrder [ : ],return hard copy of self.keyOrder elements .
from django . utils . module loading import import string,from django.utils.module_loading import import_string into default name space .
for field in model .  meta . many to many :,"for every field in model._meta.many_to_many ,"
try :,"try ,"
continue,"and call to the method form.has_changed evaluates to false , skip this loop iteration ,"
locale dir = self . default locale path,substitute self.default_locale_path for locale_dir .
pass,do nothing .
from django . db . backends . utils import typecast timestamp,from django.db.backends.utils import typecast_timestamp into default name space .
class MultiWidget ( Widget ) :,derive the class MultiWidget from the Widget base class .
self . stdout . write ( self . style . SQL KEYWORD ( connection . ops . start transaction sql ( ) ) ),"call the method connection.ops.start_transaction_sql , use the result as an argument for the call to the method self.style.SQL_KEYWORD ,"
"self . stdout . write ( STR_ % get text list ( list ( self . extensions ) , and ) )","call the method self.stdout.write with an argument string 'examining files with the extensions : % s\n ' ,"
"def clean ( self , value ) :",define the method clean with arguments self and value .
in itial set = set ( force text ( value ) for value in in itial ),"for every value in initial call the function force_text with an argument value , add the results into a set , substitute the resulting set for initial_set ."
max width = in t ( self . max width . resolve ( context ) ),"call the method self.max_width.resolve with an argument context , convert the result to an integer and substitute it for max_width ."
except TypeError :,"if TypeError exception is caught ,"
def parse color setting ( config string ) :,define the function parse_color_setting with an argument config_string .
response = middleware method ( request ),"call the middleware_method with the request as an argument , substitute the result for response ."
target app labels only = False,target_app_labels_only is boolean False .
try :,"try ,"
import cgi,import module cgi .
for func in self . response fixes :,"for every func in self.response_fixes ,"
if not match :,"if there is no match ,"
try :,"try ,"
def handle m2m ( value ) :,"define the function handle_m2m with an argument value ,"
"neg , value = self . convert ( s , self . digits , self . decimal digits , self . sign )","call the self.convert method with s , self.decimal , self.decimal_digits and self.sign as arguments , assign the result to the neg and value , respectively ."
else :,"if not ,"
except TypeError :,"if TypeError exception is caught ,"
"words [ i ] = mark safe ( STR_ % ( lead , middle , trail ) )","format string ' < a href= '' % s '' % s > % s < /a > ' with lead , middle and trail , use it as an argument for the call to the function mark_safe ,"
try :,"try ,"
def get storage class ( import path = None ) :,"use the result as an argument for the call to the function datetime.fromtimestamp , return the result . define the function get_storage_class with argument import_path=None defaulting to None ."
if proto >= NUM_ :,"if proto is greater than or equal to integer 2 ,"
 load serializers ( ),call the function _load_serializers .
"if safe and not is in stance ( data , dict ) :",and unpacked dictionary kwargs . if safe is true and data is not an instance of dict type .
"from django . db . migrations . loader import MigrationLoader , AmbiguityError",from django.db.migrations.loader import MigrationLoader and AmbiguityError into default name space .
"def   ne   ( self , other ) :",define the method __ne__ with an argument self .
"def  create message ( self , msg ) :",define the method _create_message with arguments self and msg .
return True,return boolean True .
return errors,"which has not been installed . '' with all the ' % s ' replaced by values of description , name and reference joined into a string delimited by ' . ' , respectively , obj set to receiver.__module__ , hint set to None and id set to string 'signals.E001 ' , append the result to errors . return errors ."
"candidate subs = dict ( zip ( prefix args + params , text args ) )","create a list of tuples out of 2 lists : appended params list to prefix_args and text_args , covert the result into a dictionary ,"
self . creation counter = Field . creation counter,substitute Field.creation_counter for self.creation_counter .
name = self . fk . name,substitute self.fk.name for name .
from itertools import product,from itertools import product into default name space .
"from django . utils . safestring import mark safe , SafeData",from django.utils.safestring import mark_safe and SafeData into default name space .
chunk = stream . read ( max header size ),"call the method stream.read with an argument max_header_size , substitute the result for chunk ."
"db name = connection . creation . create test db ( verbosity = verbosity , autoclobber = not in teractive , serialize = False )","call the method connection.creation.create_test_db with verbosity set to verbosity , autoclobber set to inverse value of interactive ,"
self . lookups = tuple ( var . split ( VARIABLE ATTRIBUTE SEPARATOR ) ),"where ' % s ' is replaced with var . call the method var.split with an argument VARIABLE_ATTRIBUTE_SEPARATOR , convert the result to a tuple and substitute it for self.lookups ."
else :,"if not ,"
"out = [ str ( x ) for x in [ self . id , self . first , self . second ] if x is not None ]","for x in a list containing 3 elements : self.id , self.first and self.second , if x is not None ,"
"parser . add argument ( STR_ , nargs = argparse . REMAINDER , help = STR_ )","call the method parser.add_argument with 3 arguments : string 'args ' , nargs set to argparse.REMAINDER and help as a string 'Various KEY=val options . '"
if self . cmd .  called from command line :,"if self.cmd._called_from_command_line is true ,"
if version is None :,"if version is None ,"
"return backend cls ( location , params )","evaluate the function backend_cls with location and params as arguments , return the result ."
continue,skip this loop iteration .
return smart text ( auto id ) % self . html name,"call the function smart_text with an argument auto_id , format the result with self.html_name , return it ."
push = block = block context . pop ( self . name ),"call the method block_context.pop with an argument self.name , assign the result to push and block ."
"return AssignmentNode ( takes context , args , kwargs , target var )","substitute the result for args and kwargs . return an instance of AssignmentNode class created with 4 arguments : takes_context , args , kwargs and target_var ."
pass,do nothing .
"return  i18n cache key suffix ( request , cache key )","return value of method url.hexdigest ( ) , return value of method ctx.hexdigest , respectively , substitute it for cache_key . call the function _i18n_cache_key_suffix with request and cache_key as arguments , return the result ."
return singular suffix,return singular_suffix .
"if not is in stance ( value , list ) :","if value is not an instance of list type ,"
"def validate key ( self , key ) :",define the method validate_key with self class instance and key as arguments .
"if not is in stance ( s , six . string types ) :","if s is not an instance of the object six.string_types ,"
try :,"try ,"
full module name = package name + STR_ + module name,"concatenate package_name , string ' . ' and module_name , substitute it for full_module_name ."
from   future   import unicode literals,from __future__ import unicode_literals into default name space .
"field output . append ( "" STR_ "" )",append string `` UNIQUE '' to field_output .
"representative = ESCAPE MAPPINGS . get ( ch , ch )","get the value under ch key of the ESCAPE_MAPPINGS dictionary , if it exists substitute it for representative , if not substitute ch for representative ."
class CheckMessage ( object ) :,derive class CheckMessage from object base class .
"elif not is in stance ( value , ( list , tuple ) ) :","otherwise if value is not an instance of list ot tuple type ,"
def unescape entities ( text ) :,define the function unescape_entities with an argument text .
default error messages = { STR_ :   ( STR_ ) },default_error_messages is an dictionary with an entry : return value of the function _ called with an argument string 'Enter a valid time . ' for 'invalid ' .
ORDERING FIELD NAME = STR_,ORDERING_FIELD_NAME is a string 'ORDER ' .
response [ STR_ ] = STR_ . join ( vary headers + additional headers ),"substitute this list for additional_headers . join all of the elements of vary_headers and additional_headers in a string delimited by a comma ,"
"stream = LazyStream ( ChunkIter ( self .  input data , self .  chunk size ) )","instantiate class ChunkIter with 2 arguments : self._input_data and self._chunk_size , use it to instantiate LazyStream class ,"
"model dependencies . append ( ( model , deps ) )",append a tuple containing 2 elements : model and deps to model_dependencies .
elif option == STR_ :,"where ' % s ' is replaced with first element of bits . otherwise if options equals 'only ' ,"
class LabelCommand ( BaseCommand ) :,derive the LabelCommand class from the BaseCommand base class .
fixture dirs = [ os . path . dirname ( fixture name ) ],"call the method os.path.dirname with an argument fixture_name , append it to a list , substitute resulting list for fixture_dirs ."
self .  cull ( ),call the self._cull method .
if in itial is None :,"if initial is None ,"
@ stringfilter,"decorator stringfilter ,"
raise NotImplementedError ( STR_ ),"raise an exception of class NotImplementedError , with string 'subclasses of BaseCache must provide a delete ( ) method ' as argument ."
"raise ValidationError ( self . message , code = self . code )",raise a ValidationError exception with arguments self.message and code set to self.code .
Module six moves urllib parse .  moved attributes =  urllib parse moved attributes,substitute _urllib_parse_moved_attributes for Module_six_moves_urllib_parse._moved_attributes .
